group,paco2_bin,count,weight
all,3.0,1,5.058220113506459e-06
all,4.0,3,1.5174660340519379e-05
all,5.0,2,1.0116440227012919e-05
all,6.0,4,2.0232880454025837e-05
all,7.0,13,6.575686147558397e-05
all,8.0,23,0.00011633906261064857
all,9.0,36,0.00018209592408623254
all,10.0,42,0.0002124452447672713
all,11.0,67,0.00033890074760493276
all,12.0,88,0.00044512336998856844
all,13.0,111,0.000561462432599217
all,14.0,141,0.0007132090360044107
all,15.0,139,0.0007030925957773979
all,16.0,266,0.0013454865501927181
all,17.0,306,0.0015478153547329766
all,18.0,412,0.002083986686764661
all,19.0,456,0.0023065483717589455
all,20.0,830,0.004198322694210361
all,21.0,737,0.0037279082236542607
all,22.0,1124,0.00568543940758126
all,23.0,1175,0.00594340863337009
all,24.0,1683,0.008512984451031371
all,25.0,1851,0.009362765430100456
all,26.0,2509,0.012691074264787706
all,27.0,2610,0.01320195449625186
all,28.0,3546,0.017936448522493906
all,29.0,3573,0.01807302046555858
all,30.0,4677,0.02365729547086971
all,31.0,4560,0.023065483717589454
all,32.0,6319,0.03196289289724732
all,33.0,6341,0.03207417373974446
all,34.0,7970,0.040314014304646484
all,35.0,7683,0.038862305132070125
all,36.0,9259,0.046834060030956304
all,37.0,8680,0.043905350585236064
all,38.0,9879,0.04997015650133031
all,39.0,8986,0.045453165939969044
all,40.0,9413,0.0476130259284363
all,41.0,8309,0.04202875092312517
all,42.0,8510,0.04304545316593997
all,43.0,7153,0.0361814484719117
all,44.0,7153,0.0361814484719117
all,45.0,5820,0.029438841060607592
all,46.0,5784,0.02925674513652136
all,47.0,4569,0.023111007698611012
all,48.0,4590,0.02321723032099465
all,49.0,3540,0.017906099201812867
all,50.0,3477,0.01758743133466196
all,51.0,2727,0.013793766249532114
all,52.0,2689,0.01360155388521887
all,53.0,2219,0.011224190431870833
all,54.0,2082,0.010531214276320448
all,55.0,1665,0.008421936488988254
all,56.0,1625,0.008219607684447997
all,57.0,1284,0.006494754625742294
all,58.0,1282,0.006484638185515281
all,59.0,1123,0.005680381187467754
all,60.0,1086,0.005493227043268015
all,61.0,939,0.004749668686582565
all,62.0,939,0.004749668686582565
all,63.0,778,0.003935295248308025
all,64.0,759,0.0038391890661514027
all,65.0,624,0.0031563293508280305
all,66.0,652,0.0032979595140062113
all,67.0,547,0.0027668464020880333
all,68.0,601,0.003039990288217382
all,69.0,505,0.002554401157320762
all,70.0,500,0.0025291100567532295
all,71.0,435,0.00220032574937531
all,72.0,441,0.0022306750700563484
all,73.0,388,0.001962589404040506
all,74.0,362,0.0018310756810893383
all,75.0,345,0.0017450859391597285
all,76.0,320,0.001618630436322067
all,77.0,318,0.001608513996095054
all,78.0,277,0.0014011269714412893
all,79.0,264,0.0013353701099657052
all,80.0,269,0.0013606612105332375
all,81.0,240,0.0012139728272415502
all,82.0,229,0.0011583324059929792
all,83.0,234,0.0011836235065605114
all,84.0,223,0.0011279830853119404
all,85.0,211,0.001067284443949863
all,86.0,193,0.0009762364819067466
all,87.0,179,0.0009054214003176562
all,88.0,189,0.0009560036014527208
all,89.0,182,0.0009205960606581756
all,90.0,166,0.0008396645388420723
all,91.0,140,0.0007081508158909043
all,92.0,140,0.0007081508158909043
all,93.0,119,0.0006019281935072686
all,94.0,115,0.0005816953130532429
all,95.0,129,0.0006525103946423333
all,96.0,126,0.0006373357343018138
all,97.0,92,0.0004653562504425943
all,98.0,101,0.0005108802314641524
all,99.0,95,0.00048053091078311365
all,100.0,91,0.0004602980303290878
all,101.0,61,0.00030855142692389403
all,102.0,66,0.0003338425274914263
all,103.0,75,0.00037936650851298445
all,104.0,60,0.00030349320681038756
all,105.0,62,0.0003136096470374005
all,106.0,54,0.0002731438861293488
all,107.0,44,0.00022256168499428422
all,108.0,47,0.0002377363453348036
all,109.0,38,0.00019221236431324546
all,110.0,52,0.0002630274459023359
all,111.0,41,0.00020738702465376483
all,112.0,37,0.00018715414419973899
all,113.0,38,0.00019221236431324546
all,114.0,37,0.00018715414419973899
all,115.0,37,0.00018715414419973899
all,116.0,40,0.00020232880454025838
all,117.0,22,0.00011128084249714211
all,118.0,34,0.00017197948385921962
all,119.0,36,0.00018209592408623254
all,120.0,32,0.0001618630436322067
all,121.0,33,0.00016692126374571315
all,122.0,21,0.00010622262238363565
all,123.0,25,0.0001264555028376615
all,124.0,30,0.00015174660340519378
all,125.0,32,0.0001618630436322067
all,126.0,16,8.093152181610335e-05
all,127.0,20,0.00010116440227012919
all,128.0,18,9.104796204311627e-05
all,129.0,22,0.00011128084249714211
all,130.0,30,0.00015174660340519378
all,131.0,18,9.104796204311627e-05
all,132.0,19,9.610618215662273e-05
all,133.0,15,7.587330170259689e-05
all,134.0,8,4.0465760908051675e-05
all,135.0,23,0.00011633906261064857
all,136.0,16,8.093152181610335e-05
all,137.0,10,5.0582201135064595e-05
all,138.0,14,7.081508158909043e-05
all,139.0,15,7.587330170259689e-05
all,140.0,15,7.587330170259689e-05
all,141.0,8,4.0465760908051675e-05
all,142.0,7,3.5407540794545215e-05
all,143.0,14,7.081508158909043e-05
all,144.0,12,6.0698641362077515e-05
all,145.0,9,4.5523981021558135e-05
all,146.0,13,6.575686147558397e-05
all,147.0,17,8.598974192960981e-05
all,148.0,10,5.0582201135064595e-05
all,149.0,7,3.5407540794545215e-05
all,150.0,8,4.0465760908051675e-05
all,151.0,9,4.5523981021558135e-05
all,152.0,16,8.093152181610335e-05
all,153.0,19,9.610618215662273e-05
all,154.0,15,7.587330170259689e-05
all,155.0,16,8.093152181610335e-05
all,156.0,7,3.5407540794545215e-05
all,157.0,8,4.0465760908051675e-05
all,158.0,6,3.0349320681038758e-05
all,159.0,9,4.5523981021558135e-05
all,160.0,14,7.081508158909043e-05
all,161.0,16,8.093152181610335e-05
all,162.0,9,4.5523981021558135e-05
all,163.0,8,4.0465760908051675e-05
all,164.0,7,3.5407540794545215e-05
all,165.0,6,3.0349320681038758e-05
all,166.0,16,8.093152181610335e-05
all,167.0,11,5.5640421248571055e-05
all,168.0,10,5.0582201135064595e-05
all,169.0,5,2.5291100567532298e-05
all,170.0,9,4.5523981021558135e-05
all,171.0,7,3.5407540794545215e-05
all,172.0,7,3.5407540794545215e-05
all,173.0,11,5.5640421248571055e-05
all,174.0,6,3.0349320681038758e-05
all,175.0,6,3.0349320681038758e-05
all,176.0,5,2.5291100567532298e-05
all,177.0,6,3.0349320681038758e-05
all,178.0,15,7.587330170259689e-05
all,179.0,7,3.5407540794545215e-05
all,180.0,9,4.5523981021558135e-05
all,181.0,4,2.0232880454025837e-05
all,182.0,5,2.5291100567532298e-05
all,183.0,4,2.0232880454025837e-05
all,184.0,9,4.5523981021558135e-05
all,185.0,7,3.5407540794545215e-05
all,186.0,5,2.5291100567532298e-05
all,187.0,10,5.0582201135064595e-05
all,188.0,7,3.5407540794545215e-05
all,189.0,5,2.5291100567532298e-05
all,190.0,3,1.5174660340519379e-05
all,191.0,6,3.0349320681038758e-05
all,192.0,10,5.0582201135064595e-05
all,193.0,6,3.0349320681038758e-05
all,194.0,7,3.5407540794545215e-05
all,195.0,8,4.0465760908051675e-05
all,196.0,8,4.0465760908051675e-05
all,197.0,6,3.0349320681038758e-05
all,198.0,5,2.5291100567532298e-05
all,199.0,6,3.0349320681038758e-05
all,200.0,5,2.5291100567532298e-05
all,201.0,7,3.5407540794545215e-05
all,202.0,4,2.0232880454025837e-05
all,203.0,7,3.5407540794545215e-05
all,204.0,6,3.0349320681038758e-05
all,205.0,2,1.0116440227012919e-05
all,206.0,10,5.0582201135064595e-05
all,207.0,8,4.0465760908051675e-05
all,208.0,5,2.5291100567532298e-05
all,209.0,7,3.5407540794545215e-05
all,210.0,2,1.0116440227012919e-05
all,211.0,5,2.5291100567532298e-05
all,212.0,5,2.5291100567532298e-05
all,213.0,5,2.5291100567532298e-05
all,214.0,2,1.0116440227012919e-05
all,215.0,5,2.5291100567532298e-05
all,216.0,3,1.5174660340519379e-05
all,217.0,3,1.5174660340519379e-05
all,218.0,5,2.5291100567532298e-05
all,219.0,5,2.5291100567532298e-05
all,220.0,8,4.0465760908051675e-05
all,221.0,4,2.0232880454025837e-05
all,222.0,2,1.0116440227012919e-05
all,223.0,1,5.058220113506459e-06
all,224.0,5,2.5291100567532298e-05
all,225.0,5,2.5291100567532298e-05
all,226.0,3,1.5174660340519379e-05
all,227.0,4,2.0232880454025837e-05
all,228.0,1,5.058220113506459e-06
all,229.0,4,2.0232880454025837e-05
all,230.0,4,2.0232880454025837e-05
all,231.0,2,1.0116440227012919e-05
all,232.0,7,3.5407540794545215e-05
all,233.0,3,1.5174660340519379e-05
all,234.0,4,2.0232880454025837e-05
all,235.0,4,2.0232880454025837e-05
all,236.0,4,2.0232880454025837e-05
all,237.0,3,1.5174660340519379e-05
all,238.0,3,1.5174660340519379e-05
all,239.0,3,1.5174660340519379e-05
all,240.0,6,3.0349320681038758e-05
all,241.0,6,3.0349320681038758e-05
all,244.0,3,1.5174660340519379e-05
all,245.0,5,2.5291100567532298e-05
all,246.0,3,1.5174660340519379e-05
all,247.0,2,1.0116440227012919e-05
all,248.0,2,1.0116440227012919e-05
all,249.0,3,1.5174660340519379e-05
ed_inp,3.0,1,8.296138976920141e-06
ed_inp,4.0,3,2.4888416930760424e-05
ed_inp,5.0,2,1.6592277953840282e-05
ed_inp,6.0,4,3.3184555907680565e-05
ed_inp,7.0,9,7.466525079228127e-05
ed_inp,8.0,15,0.00012444208465380211
ed_inp,9.0,21,0.00017421891851532296
ed_inp,10.0,25,0.00020740347442300353
ed_inp,11.0,32,0.0002654764472614445
ed_inp,12.0,38,0.0003152532811229654
ed_inp,13.0,59,0.0004894721996382883
ed_inp,14.0,73,0.0006056181453151703
ed_inp,15.0,64,0.000530952894522889
ed_inp,16.0,130,0.0010784980669996183
ed_inp,17.0,149,0.001236124707561101
ed_inp,18.0,226,0.001874927408783952
ed_inp,19.0,256,0.002123811578091556
ed_inp,20.0,515,0.004272511573113873
ed_inp,21.0,377,0.003127644394298893
ed_inp,22.0,645,0.005351009640113491
ed_inp,23.0,620,0.005143606165690488
ed_inp,24.0,944,0.007831555194212613
ed_inp,25.0,999,0.008287842837943222
ed_inp,26.0,1444,0.011979624682672683
ed_inp,27.0,1440,0.011946440126765004
ed_inp,28.0,2036,0.016890938957009407
ed_inp,29.0,2010,0.016675239343609483
ed_inp,30.0,2697,0.022374686820753623
ed_inp,31.0,2562,0.021254708058869403
ed_inp,32.0,3647,0.030256018848827757
ed_inp,33.0,3792,0.03145895900048118
ed_inp,34.0,4779,0.03964724817070136
ed_inp,35.0,4627,0.03838623504620949
ed_inp,36.0,5679,0.047113773249929485
ed_inp,37.0,5418,0.04494848097695332
ed_inp,38.0,6244,0.051801091771889365
ed_inp,39.0,5779,0.047943387147621495
ed_inp,40.0,6002,0.04979342613947469
ed_inp,41.0,5402,0.044815742753322604
ed_inp,42.0,5481,0.04547113773249929
ed_inp,43.0,4698,0.03897526091357082
ed_inp,44.0,4639,0.03848578871393254
ed_inp,45.0,3744,0.03106074432958901
ed_inp,46.0,3812,0.03162488178001958
ed_inp,47.0,2941,0.024398944731122137
ed_inp,48.0,2952,0.024490202259868258
ed_inp,49.0,2326,0.019296819260316248
ed_inp,50.0,2239,0.018575055169324197
ed_inp,51.0,1794,0.014883273324594734
ed_inp,52.0,1769,0.01467586985017173
ed_inp,53.0,1437,0.011921551709834242
ed_inp,54.0,1327,0.011008976422373027
ed_inp,55.0,1042,0.008644576813950788
ed_inp,56.0,996,0.00826295442101246
ed_inp,57.0,807,0.006694984154374554
ed_inp,58.0,770,0.006388027012228509
ed_inp,59.0,711,0.00589855481259022
ed_inp,60.0,645,0.005351009640113491
ed_inp,61.0,516,0.004280807712090793
ed_inp,62.0,553,0.004587764854236838
ed_inp,63.0,467,0.003874296902221706
ed_inp,64.0,423,0.00350926678723722
ed_inp,65.0,343,0.0028455756690836083
ed_inp,66.0,377,0.003127644394298893
ed_inp,67.0,296,0.0024556571371683617
ed_inp,68.0,329,0.0027294297234067267
ed_inp,69.0,268,0.002223365245814598
ed_inp,70.0,279,0.0023146227745607195
ed_inp,71.0,228,0.0018915196867377922
ed_inp,72.0,237,0.0019661849375300737
ed_inp,73.0,189,0.0015679702666379068
ed_inp,74.0,174,0.0014435281819841046
ed_inp,75.0,161,0.0013356783752841428
ed_inp,76.0,142,0.0011780517347226602
ed_inp,77.0,158,0.0013107899583533823
ed_inp,78.0,129,0.0010702019280226982
ed_inp,79.0,134,0.001111682622907299
ed_inp,80.0,119,0.0009872405382534968
ed_inp,81.0,121,0.001003832816207337
ed_inp,82.0,105,0.0008710945925766148
ed_inp,83.0,108,0.0008959830095073753
ed_inp,84.0,102,0.0008462061756458544
ed_inp,85.0,85,0.000705171813038212
ed_inp,86.0,83,0.0006885795350843717
ed_inp,87.0,77,0.0006388027012228509
ed_inp,88.0,88,0.0007300602299689724
ed_inp,89.0,97,0.0008047254807612537
ed_inp,90.0,76,0.0006305065622459308
ed_inp,91.0,63,0.0005226567555459689
ed_inp,92.0,55,0.00045628764373060776
ed_inp,93.0,39,0.0003235494200998855
ed_inp,94.0,52,0.00043139922679984736
ed_inp,95.0,51,0.0004231030878229272
ed_inp,96.0,64,0.000530952894522889
ed_inp,97.0,31,0.0002571803082845244
ed_inp,98.0,50,0.00041480694884600707
ed_inp,99.0,41,0.0003401416980537258
ed_inp,100.0,34,0.0002820687252152848
ed_inp,101.0,30,0.00024888416930760423
ed_inp,102.0,26,0.00021569961339992368
ed_inp,103.0,32,0.0002654764472614445
ed_inp,104.0,21,0.00017421891851532296
ed_inp,105.0,28,0.00023229189135376397
ed_inp,106.0,19,0.0001576266405614827
ed_inp,107.0,22,0.0001825150574922431
ed_inp,108.0,20,0.00016592277953840284
ed_inp,109.0,12,9.95536677230417e-05
ed_inp,110.0,21,0.00017421891851532296
ed_inp,111.0,19,0.0001576266405614827
ed_inp,112.0,15,0.00012444208465380211
ed_inp,113.0,15,0.00012444208465380211
ed_inp,114.0,13,0.00010784980669996184
ed_inp,115.0,12,9.95536677230417e-05
ed_inp,116.0,14,0.00011614594567688198
ed_inp,117.0,4,3.3184555907680565e-05
ed_inp,118.0,10,8.296138976920142e-05
ed_inp,119.0,15,0.00012444208465380211
ed_inp,120.0,11,9.125752874612155e-05
ed_inp,121.0,10,8.296138976920142e-05
ed_inp,122.0,12,9.95536677230417e-05
ed_inp,123.0,8,6.636911181536113e-05
ed_inp,124.0,11,9.125752874612155e-05
ed_inp,125.0,11,9.125752874612155e-05
ed_inp,126.0,6,4.977683386152085e-05
ed_inp,127.0,5,4.148069488460071e-05
ed_inp,128.0,9,7.466525079228127e-05
ed_inp,129.0,2,1.6592277953840282e-05
ed_inp,130.0,9,7.466525079228127e-05
ed_inp,131.0,6,4.977683386152085e-05
ed_inp,132.0,5,4.148069488460071e-05
ed_inp,133.0,2,1.6592277953840282e-05
ed_inp,135.0,3,2.4888416930760424e-05
ed_inp,136.0,4,3.3184555907680565e-05
ed_inp,138.0,2,1.6592277953840282e-05
ed_inp,139.0,3,2.4888416930760424e-05
ed_inp,140.0,5,4.148069488460071e-05
ed_inp,142.0,3,2.4888416930760424e-05
ed_inp,143.0,3,2.4888416930760424e-05
ed_inp,144.0,2,1.6592277953840282e-05
ed_inp,145.0,1,8.296138976920141e-06
ed_inp,146.0,2,1.6592277953840282e-05
ed_inp,147.0,6,4.977683386152085e-05
ed_inp,148.0,4,3.3184555907680565e-05
ed_inp,150.0,3,2.4888416930760424e-05
ed_inp,152.0,6,4.977683386152085e-05
ed_inp,153.0,6,4.977683386152085e-05
ed_inp,154.0,4,3.3184555907680565e-05
ed_inp,155.0,4,3.3184555907680565e-05
